iter	Passed	Remaining
0	3	1552
1	4	1211
2	6	1054
3	7	969
4	9	921
5	10	881
6	12	867
7	14	861
8	15	833
9	16	811
10	17	789
11	18	771
12	20	758
13	21	744
14	22	734
15	23	724
16	25	714
17	26	705
18	27	700
19	28	691
20	29	683
21	31	677
22	32	670
23	33	666
24	34	659
25	35	656
26	37	654
27	38	653
28	40	651
29	41	647
30	42	642
31	43	641
32	45	638
33	46	637
34	47	633
35	49	632
36	50	630
37	51	629
38	53	627
39	54	623
40	55	620
41	56	617
42	57	615
43	59	615
44	60	613
45	62	611
46	63	610
47	64	607
48	65	604
49	66	602
50	68	600
51	69	599
52	70	597
53	72	595
54	73	592
55	74	592
56	75	590
57	77	588
58	78	586
59	79	584
60	80	582
61	82	580
62	83	577
63	84	574
64	85	572
65	86	570
66	87	568
67	89	566
68	90	563
69	91	563
70	92	561
71	94	560
72	95	558
73	96	556
74	97	554
75	99	553
76	100	551
77	101	549
78	102	547
79	103	545
80	105	543
81	106	541
82	107	540
83	108	539
84	110	537
85	111	536
86	112	535
87	113	533
88	115	531
89	116	530
90	117	529
91	119	527
92	120	526
93	121	524
94	122	523
95	124	522
96	125	521
97	126	519
98	128	518
99	129	516
100	130	514
101	131	513
102	132	511
103	134	510
104	135	509
105	136	508
106	138	508
107	139	507
108	141	507
109	142	506
110	144	505
111	145	505
112	147	504
113	148	503
114	149	502
115	151	500
116	152	499
117	153	497
118	155	497
119	156	495
120	158	495
121	159	494
122	160	492
123	162	491
124	163	489
125	164	488
126	165	486
127	167	485
128	168	484
129	169	482
130	170	481
131	172	479
132	173	478
133	174	477
134	176	476
135	177	474
136	178	473
137	179	471
138	181	470
139	182	468
140	183	467
141	184	465
142	185	463
143	187	462
144	188	460
145	189	458
146	190	457
147	191	456
148	193	454
149	194	453
150	195	451
151	196	450
152	197	448
153	198	447
154	200	445
155	201	443
156	202	442
157	203	441
158	205	439
159	206	438
160	207	437
161	208	435
162	210	434
163	211	432
164	212	431
165	213	430
166	215	429
167	216	427
168	217	426
169	219	425
170	220	423
171	221	422
172	222	420
173	223	419
174	224	417
175	226	416
176	227	414
177	228	413
178	229	411
179	230	410
180	232	409
181	233	407
182	234	406
183	235	405
184	237	403
185	238	402
186	239	401
187	240	399
188	242	398
189	243	397
190	244	395
191	245	394
192	246	392
193	248	391
194	249	389
195	250	388
196	252	387
197	253	386
198	254	385
199	255	383
200	257	382
201	258	381
202	259	380
203	261	378
204	262	377
205	263	376
206	264	375
207	266	373
208	267	373
209	269	372
210	270	370
211	272	369
212	273	368
213	274	366
214	275	365
215	276	364
216	278	362
217	279	361
218	280	360
219	282	358
220	283	357
221	284	356
222	285	355
223	287	353
224	288	352
225	289	351
226	291	350
227	292	348
228	293	347
229	294	346
230	296	344
231	297	343
232	298	342
233	300	341
234	301	339
235	302	338
236	303	337
237	305	335
238	306	334
239	307	333
240	308	332
241	310	330
242	311	329
243	312	328
244	314	326
245	315	325
246	316	324
